grade,GPA,lecture,nclicks
2.3951389397134855,1.1341088286410468,6,88
3.6651590579084248,0.9708817461608885,6,96
2.8527500825440644,3.3432349544342355,6,123
1.3597001247426608,2.759576251332279,9,99
2.3133351224758183,1.0222221543244498,4,66
2.5828588202201237,0.8413324176033177,8,99
2.694628042074778,4,5,86
3.05490953442977,2.2949328022531725,7,118
3.210452062076452,3.387484368727834,9,98
2.244190221760431,3.2666344783689443,10,115
3.1338539895986766,2.2291874818663278,6,114
2.2259639176090698,1.7315937231232275,5,84
0,0.4728941368113202,3,95
3.627882542442494,1.5600287002146915,10,123
1.340564609453701,2.7518845039269175,9,115
2.087628903207063,2.001005211644082,5,101
0.43469679304059605,2.1971686863665045,5,84
2.2624222652941817,2.7121565237594463,7,90
0.7232608649661363,2.890436163092903,5,83
3.3532095042676335,1.8096566990232492,8,102
3.865328363135186,3.505622863846349,8,121
2.783484748592585,1.9056690893637753,2,85
3.7018629333789,2.481801354287636,10,87
2.4481795981764063,2.450265275139451,7,81
2.7484218134751863,3.7482459239893973,8,110
1.5854671461891077,2.9709661566544856,9,100
2.4482854155032108,2.910029853828184,10,129
1.741286243549603,0.9462394068937425,6,90
2.930875733522356,2.399373787233701,5,96
2.821016624788218,2.457595409744785,8,129
2.583163990532221,3.0110583670963456,8,118
0.9659023429530373,1.7466985681176026,7,94
2.5080683339278074,3.138766716725823,6,113
3.849963448788584,3.354888054134849,9,122
0.8822342932053551,1.5336613041613811,10,84
3.902430268076413,1.7277751189617518,7,82
3.471220226560063,1.7162994849871223,4,83
2.51156658645997,2.639059290986654,6,112
3.514698782713297,3.329487479500404,7,89
2.8290397469196993,2.653366419561028,9,100
2.7471314947424084,2.856260650984921,4,84
2.7449955515557716,2.9568736499393595,10,102
3.097730101408331,0.3793328316785729,4,111
2.9783205897333627,2.489159094264972,6,96
2.5125859170459512,2.5350624968036444,9,103
2.894494546556006,4,9,77
1.8156094332554038,2.2001744500437113,5,96
3.0011642744615257,2.802160429106293,8,112
3.8528217009801367,2.834772878434492,10,76
2.049631252837903,1.117898887195976,6,81
2.0300626070714025,1.027026640533243,3,99
2.628110785992317,1.8298851161517018,7,106
3.8726751475250083,2.7044881137568573,7,97
3.567827991504738,1.6363599922342162,6,85
3.7235078944430255,1.646152459699487,6,88
2.504512142196291,1.9153413350746136,8,92
1.2359004117215353,3.4497622104634447,9,122
2.9946270677078317,2.953561535033364,7,110
2.3944125437211996,3.753703697580126,6,106
1.4451097805509172,0.9303599407517031,6,83
2.4376733456904565,3.115223663519642,9,95
2.128414297132669,2.3039750776440275,7,119
2.861519660498466,1.7626460589216966,6,99
2.667203667592282,1.5447170902141938,4,54
1.9934927024610058,1.3665324385114785,5,116
2.7596577408662397,2.203213643510764,7,61
3.6984273053345147,1.1520123441170391,7,103
0.9500709825449576,2.1250378042950895,8,96
2.5592971448991335,3.7351341953531563,9,80
3.286187463991613,3.4664206428655384,10,115
2.12227411636179,3.3947098321622207,8,106
2.5400241365754646,1.8211989140415428,7,84
4,2.4929631941691244,10,127
1.4398139450743375,2.6862849797948116,3,109
2.411054313368218,1.4900472020806894,3,92
0,0.4014775813026299,3,67
2.573829310577129,2.952442147760321,6,105
3.1142057177916813,1.8539501374330325,3,79
2.1363495051057253,2.622657074660325,10,106
2.681764077156884,2.2073879949792,8,110
3.334928777239833,1.754349357492216,9,105
1.6988011518987989,2.124653066917607,4,101
1.552616284531878,1.5286636495035342,10,109
2.8019608215968894,2.8027352316080405,7,102
3.3707675781793975,1.698652604947395,7,105
2.2348458809053375,1.4769582417418405,7,80
3.66014573223515,4,8,109
2.732827103735022,3.0817157438421696,10,94
2.268705620593326,3.1470495038519326,6,106
3.993337700937265,2.227278111571676,7,105
2.9514552860039984,2.808266607824171,8,88
3.768071531758265,3.8783316697970807,7,120
3.2473375995293536,2.0760349117468264,5,67
1.7682799939291953,3.3295325021688105,6,84
2.8944518256955307,4,9,102
4,4,9,84
2.773393467746869,3.5680158730703817,7,107
1.6120127582470865,2.3200362264095675,8,94
3.5397356459882454,2.860776517868958,7,108
3.527568724439603,2.8646434102781764,10,109
